cookie_name,Placed_by,Functionality,purpose
_icl_current_language,WPML,to store language settings.,Functional
jetpackState,JetPack,to provide functions across pages.,Functional
__zlcstore,Zopim,to store the status of the chat.,Functional
__zlcprivacy,Zopim,to store cookie consent preferences.,Functional
__zlcmid,Zopim,to store a unique user ID.,Functional
_vis_opt_test_cookie,Visual Website Optimizer,to read if cookies can be placed.,Functional
_vis_opt_s,Visual Website Optimizer,to store unique visits.,Functional
_vis_opt_out,Visual Website Optimizer,to store user preferences.,Functional
_hjDoneTestersWidgets,Hotjar,to store performed actions on the website.,Functional
woocommerce_cart_*,WooCommerce,to store items in shopping cart.,Functional
wpe-auth,WP Engine,to Store logged in users.,Functional
__hssc,HubSpot,to store anonymized statistics.,Functional
viewed_cookie_policy,GDPR Cookie Consent,to store if a message has been shown.,Functional
wfCBLBypass,Wordfence,to provide access.,Functional
wf_loginalerted_*,Wordfence,to provide protection against hackers.,Functional
wfwaf-authcookie*,Wordfence,to read to determine if the user is logged in.,Functional
wpml_admin_referer_url,WPML,to store last requested URL.,Functional
wpml_referer_url,WPML,to store last requested URL.,Functional
wpml_browser_redirect_test,WPML,to read if cookies can be placed.,Functional
ssupp.chatid,Smartsupp,to store a unique session ID.,Functional
ssupp.vid,Smartsupp,to store a unique user ID.,Functional
AWSELB,Amazon Application Load Balancer,to provide load balancing functionality.,Functional
vchideactivationmsg_vc11,Visual Composer,to store a version number for updates.,Functional
tve_leads_unique,Thrive Leads,to store if the user has seen embedded content.,Functional
twk-*,Tawk,with unknown functionality,Functional
CookieConsent,CookieBot,to store cookie consent preferences.,Functional
store_notice*,WooCommerce,to store if a message has been dismissed.,Functional
woocommerce_recently_viewed,WooCommerce,to store performed actions on the website.,Functional
woocommerce_items_in_cart,WooCommerce,to store items in shopping cart.,Functional
gdpr_consent,Crazy Egg,to store cookie consent preferences.,Functional
moove_gdpr_popup,GDPR Cookie Compliance,to store cookie consent preferences.,Functional
_lscache_vary,Litespeed,to Provide the prevention of cached pages.,Functional
ac_enable_tracking,ActiveCampaign,to store cookie consent preferences.,Functional
ssupp.position,Smartsupp,to store configuration.,Functional
ssupp.unreaded,Smartsupp,to store if a message has been shown.,Functional
ssupp.message,Smartsupp,to store performed actions on the website.,Functional
ssupp.barclicked,Smartsupp,to store the status of the chat.,Functional
ssupp.opened,Smartsupp,to store the status of the chat.,Functional
ssupp.group,Smartsupp,to store the status of the chat.,Functional
cart_ts,Shopify,with unknown functionality,Functional
cart_sig,Shopify,with unknown functionality,Functional
Cart,Shopify,with unknown functionality,Functional
_secure_session_id,Shopify,with unknown functionality,Functional
_orig_referrer,Shopify,with unknown functionality,Functional
_ab,Shopify,with unknown functionality,Functional
__adroll_post_consent_css,Adroll,with unknown functionality,Functional
__adroll_post_consent_html,Adroll,with unknown functionality,Functional
__adroll_consent_paramas,Adroll,with unknown functionality,Functional
__consent,,with unknown functionality,Functional
qtrans_front_language,Q Translate,to store language settings.,Functional
catAccCookies,GDPR Cookie Consent Banner,to store cookie consent preferences.,Functional
intercom-session-*,Intercom Messenger,with unknown functionality,Functional
intercom-id-*,Intercom Messenger,with unknown functionality,Functional
maxmegamenu.themeeditor,Max Mega Menu,with unknown functionality,Functional
__paypal_storage__,PayPal,to store account details.,Functional
storefront_digest,Shopify,with unknown functionality,Functional
Secure_customer_sig,Shopify,with unknown functionality,Functional
Secret,Shopify,with unknown functionality,Functional
checkout_token,Shopify,with unknown functionality,Functional
ct_sfw_pass_key,CleanTalk Spam Protect,to provide spam protection.,Functional
amazon-pay-connectedAuth,Amazon Pay,with unknown functionality,Functional
incap_ses_*,Incapsula,with unknown functionality,Functional
wp-reset-tabs,WP_Reset,with unknown functionality,Functional
DYAMAR_POLL_*_VOTED,Dyamar Polls,to store performed actions on the website.,Functional
pvc_visits,Posts View Counter,to store and count pageviews.,Functional
wp-donottrack_feed,WP Do Not Track,with unknown functionality,Functional
privacy_embeds,Avada Privacy Bar,to store user preferences.,Functional
qtrans_edit_language,Q Translate,to store language settings.,Functional
qtrans_admin_language,Q Translate,to store language settings.,Functional
wpr-show-sidebar,WP Rocket,to store user preferences.,Functional
wpr-*,WP Rocket,with unknown functionality,Functional
ct_ps_timestamp,CleanTalk Spam Protect,to store time of visit.,Functional
ct_timezone,CleanTalk Spam Protect,to store time of visit.,Functional
ct_pointer_data,CleanTalk Spam Protect,to store dynamic variables from the browser.,Functional
ct_fkp_timestamp,CleanTalk Spam Protect,to store time of visit.,Functional
pbct_visible_fields_count,CleanTalk Spam Protect,with unknown functionality,Functional
apbct_visible_fields,CleanTalk Spam Protect,with unknown functionality,Functional
ct_checkjs,CleanTalk Spam Protect,to store dynamic variables from the browser.,Functional
apbct_site_landing_ts,CleanTalk Spam Protect,with unknown functionality,Functional
wd,Facebook,to read screen resolution.,Functional
_hjShownFeedbackMessage,Hotjar,to store if a message has been shown.,Functional
dont_track_me,WP Do Not Track,to store 'do not track' signals.,Functional
wordpress_*,WordPress,with unknown functionality,Functional
bp-activity-oldestpage,BuddyPress,to provide a responsive website.,Functional
et-editor-available-post-*,Divi (Elegant Themes),with unknown functionality,Functional
_wpas_session,Awesome Support,to provide functions across pages.,Functional
uncodeAI_screen,Uncode,to read screen resolution.,Functional
uncodeAI_images,Uncode,to provide a responsive website.,Functional
uncodeAI_css,Uncode,to read screen resolution.,Functional
auto_saved_sql,phpMyAdmin,with unknown functionality,Functional
_gat_UA-*,Google Analytics,with unknown functionality,Functional
wordpress_test_cookie,WordPress,to read if cookies can be placed.,Functional
wp-api-schema-model*,WordPress,with unknown functionality,Functional
wp-settings-time-*,WordPress,to store user preferences.,Functional
wp-settings-*,WordPress,to store user preferences.,Functional
Phpstorm-*,PhpStorm,with unknown functionality,Functional
gmw-settings-tabs,Google Maps Widget,with unknown functionality,Functional
MATOMO_SESSID,Matomo,to provide fraud prevention.,Functional
wp-autosave-*,WordPress,to store performed actions on the website.,Functional
cf_*_id,CloudFlare,with unknown functionality,Functional
edd_items_in_cart,Easy Digital Downloads,to store items in shopping cart.,Functional
wp-saving-post,WordPress,to store a post in the editor.,Functional
cookie_notice_accepted,Cookie Notice for GDPR,to read if cookies can be placed.,Functional
persist:hs-beacon-*,Help Scout,to store if a message has been shown.,Functional
wp_woocommerce_session_*,WooCommerce,to store performed actions on the website.,Functional
cmplz_user_data,Complianz,to determine which cookie banner to show.,Functional
WP_DATA_USER_*,WordPress,to store user preferences.,Functional
wpgmza-api-consent-given,WP Google Maps,to store cookie consent preferences.,Functional
wordpress_logged_in_*,WordPress,to Store logged in users.,Functional
themify-builder-tabs,Themify,with unknown functionality,Functional
HS:Beacon:TopArticles:*,Shortpixel,to read user IP address.,Functional
gdpr[allowed_cookies],GDPR Cookie Consent,to store cookie consent preferences.,Functional
sc_anonymous_id,SoundCloud,to provide functions across pages.,Functional
duo_secure_wordpress_auth_cookie,Duo Two-Factor Authentication,with unknown functionality,Functional
zilla_likes_*,ZillaLikes,with unknown functionality,Functional
paypal,PayPal,to provide fraud prevention.,Functional
autoptimize_feed,Autoptimize,to store user preferences.,Functional
itsec_interstitial_browser,iThemes Security,to provide fraud prevention.,Functional
sclocale,SoundCloud,to store language settings.,Functional
cacher-requests-Date,OnlineAfspraken,with unknown functionality,Functional
dao-Bookable,OnlineAfspraken,with unknown functionality,Functional
dao-AppTypeGroup,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-AppTypeGroup,OnlineAfspraken,with unknown functionality,Functional
dao-Apptype,OnlineAfspraken,with unknown functionality,Functional
PSecwid__*taxSettings,Ecwid,to store currency settings.,Functional
PSecwid__*__taxIdPStaxId,Ecwid,to store currency settings.,Functional
_jid,wpDiscuz,to Store logged in users.,Functional
wp_consent_*,WordPress,to store cookie consent preferences.,Functional
SS_deltaBuffer,,to provide a smoother scrolling experience.,Functional
cacher-requests-Subscription,OnlineAfspraken,with unknown functionality,Functional
dao-SubscriptionType,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-SubscriptionType,OnlineAfspraken,with unknown functionality,Functional
dao-Voucher,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Voucher,OnlineAfspraken,with unknown functionality,Functional
dao-GiftCard,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-GiftCard,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Apptype,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Resource,OnlineAfspraken,with unknown functionality,Functional
dao-Date,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Booking-Capacity-Group,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Mailing-MailingList,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Mailing-MailingListSegment,OnlineAfspraken,with unknown functionality,Functional
dao-Booking-Capacity-Group,OnlineAfspraken,with unknown functionality,Functional
dao-Productgroup*,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Productgroup,OnlineAfspraken,with unknown functionality,Functional
dao-Appointment,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Appointment,OnlineAfspraken,with unknown functionality,Functional
dao-Product*,OnlineAfspraken,with unknown functionality,Functional
cacher-requests-Product,OnlineAfspraken,with unknown functionality,Functional
uael-modal-popup-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-modal-popup-*,Ultimate Elementor,to provide functions across pages.,Functional
etfb-autosave-*,Divi (Elegant Themes),to store a post in the editor.,Functional
wsc_*_ignoreAllCapsWords,Yoast,to store performed actions on the website.,Functional
wsc_*_ignoreWordsWithNumbers,Yoast,to store performed actions on the website.,Functional
wsc_*_ignoreWordsWithMixedCases,Yoast,to store performed actions on the website.,Functional
wsc_*_lang,Yoast,to store performed actions on the website.,Functional
wsc_*_ignoreDomainNames,Yoast,to store performed actions on the website.,Functional
wsc_*_ignoreAllCapsWords,Yoast,to store performed actions on the website.,Functional
driftt_wmd,Drift,to store if a message has been dismissed.,Functional
cerber_groove_x_*,Cerber Security & Anti-Spam,to provide protection against hackers.,Functional
woocommerce_current_currency,WooCommerce,to store currency settings.,Functional
_icl_current_admin_language_*,WPML,to store language settings.,Functional
No longer active,Wordfence,to provide fraud prevention.,Functional
wc_cart_created,WooCommerce,to store performed actions on the website.,Functional
HS:Beacon:TopArticles://shortpixel.helpscoutdocs.com,Shortpixel,to read user IP address.,Functional
amp-store:*,AMP,to store browser details.,Functional
wc_fragments_*,WooCommerce,with unknown functionality,Functional
wc_cart_hash_*,WooCommerce,to store items in shopping cart.,Functional
googtrans,Google Translate,to store language settings.,Functional
jv_callback_ping_response_*,Jivochat,to store configuration.,Functional
jv_invitation_time_*,Jivochat,to store time of visit.,Functional
wp-rest-enabled-ping,WPML,to provide a test whether the WordPress REST API is enabled and publicly accessible.,Functional
cookielawinfo-checkbox-necessary,GDPR Cookie Consent,to read if cookies can be placed.,Functional
__lc.visitor_id*,LiveChat,to store a unique user ID.,Functional
woocommerce_cart_hash,WooCommerce,to store items in shopping cart.,Functional
wpSGCacheBypass,SiteGround,with unknown functionality,Functional
wp-wpml_current_admin_language_*,WPML,to store language settings.,Functional
SERVERID*,HAProxy,to provide load balancing functionality.,Functional
twk_*,Tawk,with unknown functionality,Functional
_iub_cs-*,iubenda Cookie Solution,to store cookie consent preferences.,Functional
googlesitekit::total-notifications,Google Site Kit,to provide admin functions.,Functional
googlesitekit_modules:*,Google Site Kit,to provide admin functions.,Functional
wpgdprc-consent-*,WP GDPR Compliance,to store cookie consent preferences.,Functional
borlabsCookie,Admin,with unknown functionality,Functional
liveAgentPageTime_*,LiveAgent,with unknown functionality,Functional
visitor_id*-hash,Pardot,to provide protection against hackers.,Functional
wp-wpml_current_language,WPML,to store language settings.,Functional
itsec-hb-login-*,iThemes Security,to provide the hiding of the WordPress login URL.,Functional
cerber_groove,Cerber Security & Anti-Spam,to provide protection against hackers.,Functional
simcaseCurrencyConverterCachedCurrency*,,to store currency settings.,Functional
SGPBShowingLimitationDomain*,PopUp Builder,to store if a message has been shown.,Functional
themify_builder_clipboard_content,Themify,with unknown functionality,Functional
vcc_element*,Visual Composer,with unknown functionality,Functional
HS:Beacon:Suggestions:id:*,Help Scout,with unknown functionality,Functional
uncodeAI.screen,Uncode,to read screen resolution.,Functional
uncodeAI.css,Uncode,with unknown functionality,Functional
uncodeAI.images,Uncode,with unknown functionality,Functional
kalium_acfpro_gm_tab_*,Advanced Custom Fields,to provide functions across pages.,Functional
cto_lwid,Criteo,to provide admin functions.,Functional
cp-userdata-config_activepill_sliders_,Admin,with unknown functionality,Functional
complianz_id,Complianz,to store cookie consent preferences.,Functional
complianz_scan_token,Complianz,with unknown functionality,Functional
DataTables*,NPM,with unknown functionality,Functional
vchideactivationmsg,Visual Composer,to store a version number for updates.,Functional
current_cur,,to store currency settings.,Functional
_hjMinimizedTestersWidgets,Hotjar,to store if a message has been dismissed.,Functional
ct-ultimate-gdpr-cookie,GDPR Cookie Consent,to store cookie consent preferences.,Functional
No longer active,Wordfence,to provide fraud prevention.,Functional
msLocalStorageTest_*,,to read if cookies can be placed.,Functional
lepelementor_license_cookie,Elementor,to store account details.,Functional
apbct_cookies_test,CleanTalk Spam Protect,to read if cookies can be placed.,Functional
apbct_page_hits,CleanTalk Spam Protect,with unknown functionality,Functional
apbct_prev_referer,CleanTalk Spam Protect,to store referrer ID's.,Functional
apbct_timestamp,CleanTalk Spam Protect,with unknown functionality,Functional
apbct_visible_fields_count,CleanTalk Spam Protect,with unknown functionality,Functional
cp-impression-added-forcp_id_*,ConvertPlus,to store if a message has been dismissed.,Functional
wmc_current_currency,Woo Multi Currency,to store currency settings.,Functional
beeketing_currency,Beeketing,to store currency settings.,Functional
uncode_privacy[consent_types,Uncode,to store cookie consent preferences.,Functional
et-pb-recent-items-colors,Divi (Elegant Themes),to provide functions across pages.,Functional
aiowps_cookie_test_*,All In One WP Security & Firewall,with unknown functionality,Functional
qbStartCount,Quriobot,to store last visit.,Functional
asColorPicker_palettes_*,amazingSurge,to provide functions across pages.,Functional
jv_enter_*,Jivochat,to store first visit to the site.,Functional
wsc_*_userID,Yoast,to store performed actions on the website.,Functional
wsc_*_password,Yoast,to store performed actions on the website.,Functional
themify_builder_docked,Themify,with unknown functionality,Functional
w3tc_logged_*,W3 Total Cache,to Provide the prevention of cached pages.,Functional
algoliasearch-client-js,Algolia,with unknown functionality,Functional
gfc_HTTP_REFERER,Rocketgenius,with unknown functionality,Functional
uncode_privacy[privacy_bar,Uncode,with unknown functionality,Functional
X-Mapping-*,Riverbed,to provide load balancing functionality.,Functional
onwbchtSound,OnWebChat,to store user preferences.,Functional
wplc_minimize,WP-live chat,to store if a message has been dismissed.,Functional
the7-options-preview-device,The7 Theme,with unknown functionality,Functional
cookielawinfo-checkbox-non-necessary,GDPR Cookie Consent,to read if cookies can be placed.,Functional
remember_web_*,Laravel php framework,to store user preferences.,Functional
themify_popup_page_view,Themify,with unknown functionality,Functional
et-pb-recent-items-font_family,Divi (Elegant Themes),to provide functions across pages.,Functional
gfc_elementor_library,Rocketgenius,with unknown functionality,Functional
gfc_customize_autosaved,Rocketgenius,with unknown functionality,Functional
gfc_customize_messenger_channel,Rocketgenius,with unknown functionality,Functional
gfc_complianz_scan_token,Rocketgenius,with unknown functionality,Functional
gfc_ver,Rocketgenius,with unknown functionality,Functional
gfc_elementor-preview,Rocketgenius,with unknown functionality,Functional
gfc_listing_type,Rocketgenius,with unknown functionality,Functional
gfc_preview_nonce,Rocketgenius,with unknown functionality,Functional
gfc_customize_theme,Rocketgenius,with unknown functionality,Functional
gfc_tab,Rocketgenius,with unknown functionality,Functional
xf_edit_style_id,XenForo,to store user preferences.,Functional
dt_cut_page,The7 Theme,with unknown functionality,Functional
amazon-pay-abtesting-apa-migration,Amazon Pay,with unknown functionality,Functional
themify_builder_lightbox_frontend_pos_size,Themify,with unknown functionality,Functional
tb_visual_templates,Themify,with unknown functionality,Functional
tb_form_templates_,Themify,with unknown functionality,Functional
metaslider-vuex*,Metaslider,with unknown functionality,Functional
_hjSessionResumed,Hotjar,with unknown functionality,Functional
MCPopupClosed,MailChimp,to store if a message has been dismissed.,Functional
gfc_gf_page,Rocketgenius,with unknown functionality,Functional
gt_auto_switch,Google Translate,to provide translations.,Functional
uncode_privacy,Uncode,to store cookie consent preferences.,Functional
themify_builder_docked_left,Themify,with unknown functionality,Functional
themify_builder_lightbox_backend_pos_size,Themify,with unknown functionality,Functional
tinv_wishlistkey,Template Invaders,with unknown functionality,Functional
xf_session,XenForo,with unknown functionality,Functional
xf_session_admin,XenForo,with unknown functionality,Functional
xf_session_install,XenForo,with unknown functionality,Functional
xf_user,XenForo,to Store logged in users.,Functional
xf_notice_dismiss,XenForo,to store if a message has been dismissed.,Functional
local_storage_support_test,Twitter,to provide load balancing functionality.,Functional
wordpress_sec_*,WordPress,"to provide protection against hackers, store account details.",Functional
VISITOR_INFO1_LIVE,YouTube,to provide bandwidth estimations.,Functional
likebtn_vote*,Likebtn,to store likes of comments or posts.,Functional
likebtn_count*,Likebtn,to store likes of comments or posts.,Functional
CEBlack,Cherry Framework,to provide admin functions.,Functional
ZD-settings,Zendesk,to store user preferences.,Functional
beeketing_cart_fragments_init,Beeketing,to store items in shopping cart.,Functional
roundcube_sessauth,Roundcube,with unknown functionality,Functional
mp_beeketing,Beeketing,with unknown functionality,Functional
_hjRecordingEnabled,Hotjar,with unknown functionality,Functional
rtk_currencies,WP Engine,to store currency settings.,Functional
ssupp_vid,Smartsupp,to store a unique user ID.,Functional
ssupp_visits,Smartsupp,to store number of visits.,Functional
ssupp.visits,Smartsupp,to store number of visits.,Functional
__smListBuilderOptOut,Sumo,with unknown functionality,Functional
__smWelcomeMatShown,Sumo,with unknown functionality,Functional
__smSmartBarOptOut,Sumo,with unknown functionality,Functional
__smSmartbarShown,Sumo,with unknown functionality,Functional
tourmaster-tour-*,Tour Master,to store performed actions on the website.,Functional
uael-timer-seconds-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-hours-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-distance-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-minutes-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-cdTime-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-evgInt-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-firstTime-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-time-to-run-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-days-*,Ultimate Elementor,to provide functions across pages.,Functional
tb_panel_closed,Tablepress,with unknown functionality,Functional
_tb_t_ppg,Taboola,with unknown functionality,Functional
_tb_sess_r,Taboola,with unknown functionality,Functional
trc_cookie_storage,Taboola,to store a unique user ID.,Functional
klaClosedPopup,Klaviyo,to store if a message has been dismissed.,Functional
ifso_is_first_use,If So,to store first use.,Functional
thx_global_guid,LexisNexis,to provide fraud prevention.,Functional
thx_guid,LexisNexis,to provide fraud prevention.,Functional
persist:hs-beacon-message-*,Help Scout,to store if a message has been shown.,Functional
ast_checkout_form,Themehigh,with unknown functionality,Functional
_wcml_booking_currency,Weglot,to store currency settings.,Functional
Trengo_panelState,Trengo,to store the status of the chat.,Functional
Trengo_Visitor,Trengo,to store the status of the chat.,Functional
Trengo_Session,Trengo,to store the status of the chat.,Functional
Trengo_VisitorToken,Trengo,with unknown functionality,Functional
wfacp_form_values,Build WooFunnels,with unknown functionality,Functional
wfacp_checkout_page_id,Build WooFunnels,with unknown functionality,Functional
wf-scan-issue-expanded-*,Wordfence,to provide the identification of trusted web traffic.,Functional
bp-notifications,BuddyPress,to store user preferences.,Functional
bp_user-registered,BuddyPress,with unknown functionality,Functional
bp_user-role,BuddyPress,with unknown functionality,Functional
tm_pb_templates_settings_date,,with unknown functionality,Functional
tm_pb_templates_tm_pb_contact_field,,with unknown functionality,Functional
tm_pb_templates_tm_pb_video_slider_item,,with unknown functionality,Functional
tm_pb_templates_tm_pb_posts,,with unknown functionality,Functional
tm_pb_templates_tm_pb_post_slider,,with unknown functionality,Functional
tm_pb_templates_tm_pb_testimonial,,with unknown functionality,Functional
tm_pb_templates_tm_pb_contact_form,,with unknown functionality,Functional
tm_pb_templates_tm_pb_section,,with unknown functionality,Functional
ssupp_chatid,Smartsupp,to store a unique session ID.,Functional
Trengo_widgetClosedTime,Trengo,to store the status of the chat.,Functional
tm_pb_templates_tm_pb_text,,with unknown functionality,Functional
tm_pb_templates_tm_pb_slider,,with unknown functionality,Functional
tm_pb_templates_tm_pb_counter,,with unknown functionality,Functional
tm_pb_templates_tm_pb_swiper,,with unknown functionality,Functional
tm_pb_templates_tm_pb_column,,with unknown functionality,Functional
tm_pb_templates_tm_pb_counters,,with unknown functionality,Functional
tm_pb_templates_tm_pb_brands_showcase_module,,with unknown functionality,Functional
tm_pb_templates_settings_product_version,,with unknown functionality,Functional
tm_pb_templates_tm_pb_social_media_follow,,with unknown functionality,Functional
tm_pb_templates_tm_pb_video_slider,,with unknown functionality,Functional
tm_pb_templates_tm_pb_brands_showcase_module__item,,with unknown functionality,Functional
tm_pb_templates_tm_pb_map_pin,,with unknown functionality,Functional
tm_pb_templates_tm_pb_countdown_timer,,with unknown functionality,Functional
tm_pb_templates_tm_pb_map,,with unknown functionality,Functional
tm_pb_templates_tm_pb_toggle,,with unknown functionality,Functional
tm_pb_templates_tm_pb_button,,with unknown functionality,Functional
tm_pb_templates_tm_pb_blog,,with unknown functionality,Functional
tm_pb_templates_tm_pb_video,,with unknown functionality,Functional
tm_pb_templates_tm_pb_divider,,with unknown functionality,Functional
tm_pb_templates_tm_pb_circle_counter,,with unknown functionality,Functional
tm_pb_templates_tm_pb_image,,with unknown functionality,Functional
tm_pb_templates_tm_pb_accordion,,with unknown functionality,Functional
tm_pb_templates_tm_pb_row,,with unknown functionality,Functional
tm_pb_templates_tm_pb_pricing_tables,,with unknown functionality,Functional
tm_pb_templates_tm_pb_row_inner,,with unknown functionality,Functional
tm_pb_templates_tm_pb_tabs,,with unknown functionality,Functional
tm_pb_templates_tm_pb_accordion_item,,with unknown functionality,Functional
tm_pb_templates_tm_pb_number_counter,,with unknown functionality,Functional
tm_pb_templates_tm_pb_taxonomy,,with unknown functionality,Functional
tm_pb_templates_tm_pb_booked_calendar,,with unknown functionality,Functional
tm_pb_templates_tm_pb_cherry_projects_terms,,with unknown functionality,Functional
